freshdesk_ticket_id,frappe_ticket_id
22285370,21965
22285371,21974
22285372,21982
22285373,21995
22285374,22006
22285375,22010
22285376,22020
22285377,22030
22285378,22039
22285379,22048
22285380,22057
22285381,22069
22285382,22079
22285383,22088
22285384,22096
22285385,22103
22285386,22113
22285387,22123
22285388,22136
22285389,22145
22285391,22165
22285392,22174
22285393,22184
22285394,22193
22285395,22203
22285396,22213
22285397,22222
22285398,22232
22285399,22242
22285400,22254
22285401,22264
22285402,22273
22285403,22282
22285404,22290
22285405,22300
22285406,22308
22285407,22317
22285408,22327
22285409,22338
22285410,22347
22285411,22361
22285412,22370
22285413,22378
22285414,22388
22285415,22397
22285416,22408
22285417,22421
22285418,22431
22285419,22440
22285420,22450
22285421,22458
22285422,22470
22285423,22478
22285424,22487
22285425,22496
22285426,22506
22285427,22517
22285428,22530
22285429,22539
22285430,22552
22285431,22561
22285432,22572
22285433,22583
22285434,22594
22285435,22603
22285436,22613
22285437,22623
22285438,22635
22285439,22645
22285440,22654
22285441,22663
22285442,22673
22285443,22683
22285444,22697
22285445,22705
22285446,22717
22285447,22728
22285448,22739
22285449,22751
22285450,22764
22285451,22775
22285452,22785
22285453,22796
22285454,22807
22285455,22818
22285456,22826
22285457,22834
22285458,22849
22285459,22858
22285460,22870
22285461,22882
22285462,22894
22285463,22904
22285464,22916
22285465,22925
22285466,22937
22285467,22946
22285468,22959
22285469,22971
22285470,22983
22285471,22997
22285472,23007
22285473,23018
22285474,23029
22285475,23039
22285476,23049
22285477,23059
22285478,23073
22285479,23085
22285480,23096
22285481,23107
22285482,23118
22285483,23132
22285484,23140
22285485,23152
22285486,23163
22285487,23174
22285488,23187
22285489,23197
22285490,23209
22285491,23218
22285492,23230
22285493,23242
22285494,23252
22285495,23261
22285496,23279
22285497,23292
22285498,23301
22285499,23311
22285500,23320
22285501,23332
22285502,23342
22285503,23352
22285504,23363
22285505,23374
22285506,23385
22285507,23396
22285508,23407
22285509,23417
22285510,23428
22285511,23438
22285512,23449
22285513,23461
22285514,23470
22285515,23483
22285516,23491
22285517,23500
22285518,23512
22285519,23525
22285520,23542
22285521,23551
22285522,23564
22285523,23574
22285524,23588
22285525,23600
22285526,23611
22285527,23623
22285528,23634
22285529,23643
22285530,23651
22285531,23661
22285532,23672
22285533,23683
22285534,23694
22285535,23703
22285536,23714
22285537,23725
22285538,23736
22285539,23747
22285540,23757
22285541,23767
22285542,23778
22285543,23789
22285544,23800
22285545,23812
22285546,23822
22285547,23835
22285548,23848
22285549,23858
22285550,23872
22285551,23882
22285552,23892
22285553,23898
22285554,23905
22285555,23916
22285556,23926
22285557,23938
22285558,23949
22285559,23960
22285560,23970
22285561,23982
22285562,23994
22285563,24004
22285564,24014
22285565,24025
22285566,24041
22285567,24047
22285568,24060
22285569,24068
22285570,24078
22285571,24088
22285572,24100
22285573,24112
22285574,24132
22285575,24143
22285576,24159
22285577,24174
22285578,24188
22285579,24203
22285580,24222
22285581,24240
22285582,24258
22285583,24273
22285584,24289
22285585,24309
22285586,24326
22285587,24341
22285588,24357
22285589,24380
22285590,24401
22285591,24418
22285592,24436
22285593,24454
22285594,24472
22285595,24488
22285596,24505
22285597,24523
22285598,24540
22285599,24557
22285600,24572
22285601,24592
22285602,24606
22285603,24625
22285604,24643
22285605,24668
22285606,24680
22285607,24696
22285608,24714
22285609,24730
22285610,24750
22285611,24773
22285612,24788
22285613,24803
22285614,24825
22285615,24841
22285616,24859
22285617,24874
22285618,24891
22285619,24909
22285620,24928
22285621,24943
22285622,24954
22285623,24968
22285624,24992
22285625,25006
22285626,25023
22285627,25035
22285628,25049
22285629,25065
22285630,25082
22285631,25102
22285632,25118
22285633,25142
22285634,25157
22285635,25172
22285636,25188
22285637,25204
22285638,25222
22285639,25238
22285640,25255
22285641,25272
22285642,25292
22285643,25310
22285644,25326
22285645,25350
22285646,25368
22285647,25384
22285648,25397
22285649,25419
22285650,25438
22285651,25454
22285652,25469
22285653,25485
22285654,25498
22285655,25513
22285656,25528
22285657,25545
22285658,25565
22285659,25578
22285660,25595
22285661,25612
22285662,25634
22285663,25648
22285664,25665
22285665,25679
22285666,25693
22285667,25706
22285668,25720
22285669,25734
