freshdesk_ticket_id,frappe_ticket_id
2808345,5298
2808346,5299
2808347,5300
2808348,5301
2808349,5302
2808350,5303
2808351,5304
2808352,5305
2808353,5306
2808354,5307
2808355,5308
2808356,5309
2808357,5310
2808358,5311
2808359,5312
2808360,5313
2808361,5314
2808362,5315
2808363,5316
2808364,5317
2808365,5318
2808366,5319
2808367,5320
2808368,5321
2808369,5322
2808370,5323
2808371,5324
2808372,5325
2808373,5326
2808374,5327
2808375,5328
2808376,5329
2808377,5330
2808378,5331
2808379,5332
2808380,5333
2808381,5334
2808382,5335
2808383,5336
2808384,5337
2808385,5338
2808386,5339
2808387,5340
2808388,5341
2808389,5342
2808390,5343
2808391,5344
2808392,5345
2808393,5346
2808394,5347
2808395,5348
2808396,5349
2808397,5350
2808398,5351
2808399,5352
2808400,5353
2808401,5354
2808402,5355
2808403,5356
2808404,5357
2808405,5358
2808406,5359
2808408,5361
2808409,5362
2808410,5363
2808411,5364
2808412,5365
2808413,5366
2808414,5367
2808415,5368
2808416,5369
2808417,5370
2808418,5371
2808419,5372
2808420,5373
2808421,5374
2808422,5375
2808423,5376
2808424,5377
2808425,5378
2808426,5379
2808427,5380
2808428,5381
2808429,5382
2808430,5383
2808431,5384
2808432,5385
2808433,5389
2808434,5390
2808435,5391
2808436,5392
2808437,5393
2808438,5394
2808439,5395
2808440,5396
2808441,5397
2808442,5398
2808443,5399
2808444,5400
2808445,5401
2808446,5402
2808447,5403
2808449,5406
2808450,5407
2808451,5408
2808452,5409
2808453,5410
2808454,5411
2808455,5412
2808456,5413
2808457,5414
2808458,5415
2808459,5416
2808460,5417
2808461,5418
2808462,5419
2808463,5420
2808464,5421
2808465,5422
2808466,5423
2808467,5424
2808468,5425
2808469,5426
2808470,5427
2808471,5428
2808472,5429
2808473,5430
2808474,5431
2808475,5432
2808476,5433
2808477,5434
2808478,5435
2808479,5436
2808480,5437
2808481,5438
2808482,5439
2808483,5440
2808484,5441
2808485,5442
2808486,5443
2808487,5444
2808488,5445
2808489,5446
2808490,5447
2808491,5448
2808492,5449
2808493,5450
2808494,5451
2808495,5452
2808496,5453
2808497,5454
2808498,5455
2808499,5456
2808500,5457
2808501,5458
2808502,5459
2808503,5460
2808504,5461
2808505,5462
2808506,5463
2808507,5464
2808508,5465
2808509,5466
2808510,5467
2808511,5468
2808512,5469
2808513,5470
2808514,5471
2808515,5472
2808516,5473
2808517,5474
2808518,5475
2808519,5476
2808520,5477
2808521,5478
2808522,5479
2808523,5480
2808524,5481
2808525,5482
2808526,5483
2808527,5484
2808528,5485
2808529,5486
2808530,5487
2808531,5488
2808532,5489
2808533,5490
2808534,5491
2808535,5492
2808536,5493
2808537,5494
2808538,5495
2808539,5496
2808540,5497
2808541,5498
2808542,5499
2808543,5500
2808544,5501
2808545,5502
2808546,5503
2808547,5504
2808548,5505
2808549,5506
2808550,5507
2808551,5508
2808552,5509
2808553,5510
2808554,5511
2808555,5512
2808556,5513
2808557,5514
2808558,5515
2808559,5516
2808560,5517
2808561,5518
2808562,5519
2808563,5520
2808564,5521
2808565,5522
2808566,5523
2808567,5524
2808568,5525
2808569,5526
2808570,5527
2808571,5528
2808572,5529
2808573,5530
2808574,5531
2808575,5532
2808576,5533
2808577,5534
2808578,5535
2808579,5536
2808580,5537
2808581,5538
2808582,5539
2808583,5540
2808584,5541
2808585,5542
2808586,5543
2808587,5544
2808588,5545
2808589,5546
2808590,5547
2808591,5548
2808592,5549
2808593,5550
2808594,5551
2808595,5552
2808596,5553
2808597,5554
2808598,5555
2808599,5556
2808600,5557
2808601,5558
2808602,5559
2808603,5560
2808604,5561
2808605,5562
2808606,5563
2808607,5564
2808608,5565
2808609,5566
2808610,5567
2808611,5568
2808612,5569
2808613,5570
2808614,5571
2808615,5572
2808616,5573
2808617,5574
2808618,5575
2808619,5576
2808620,5577
2808621,5578
2808622,5579
2808623,5580
2808624,5581
2808625,5582
2808626,5583
2808627,5584
2808628,5585
2808629,5586
2808630,5587
2808631,5588
2808632,5589
2808633,5590
2808634,5591
2808635,5592
2808636,5593
2808637,5594
2808638,5595
2808639,5596
2808640,5597
2808641,5598
2808642,5599
2808643,5600
2808644,5601
